index,1. open,2. high,3. low,4. close
2018-09-13 19:10:00,111.9250,111.9360,111.9000,111.9320
2018-09-13 19:15:00,111.9320,111.9740,111.9000,111.9690
2018-09-13 19:20:00,111.9690,111.9740,111.9200,111.9560
2018-09-13 19:25:00,111.9570,111.9620,111.9100,111.9560
2018-09-13 19:30:00,111.9570,111.9900,111.9300,111.9860
2018-09-13 19:35:00,111.9860,111.9900,111.9600,111.9820
2018-09-13 19:40:00,111.9820,111.9880,111.9600,111.9820
2018-09-13 19:45:00,111.9820,111.9910,111.9400,111.9890
2018-09-13 19:50:00,111.9890,112.0000,111.9500,111.9720
2018-09-13 19:55:00,111.9750,111.9850,111.9400,111.9820
2018-09-13 20:00:00,111.9830,111.9870,111.9400,111.9770
2018-09-13 20:05:00,111.9780,111.9880,111.9400,111.9810
2018-09-13 20:10:00,111.9810,111.9860,111.9300,111.9710
2018-09-13 20:15:00,111.9700,111.9720,111.9300,111.9660
2018-09-13 20:20:00,111.9660,111.9710,111.9400,111.9690
2018-09-13 20:25:00,111.9690,111.9750,111.9300,111.9650
2018-09-13 20:30:00,111.9650,111.9670,111.9200,111.9520
2018-09-13 20:35:00,111.9490,111.9550,111.9100,111.9450
2018-09-13 20:40:00,111.9440,111.9530,111.9200,111.9430
2018-09-13 20:45:00,111.9430,111.9520,111.9200,111.9460
2018-09-13 20:50:00,111.9460,111.9520,111.9200,111.9390
2018-09-13 20:55:00,111.9400,111.9420,111.8900,111.9230
2018-09-13 21:00:00,111.9110,111.9410,111.8850,111.8960
2018-09-13 21:05:00,111.9000,111.9400,111.8790,111.8980
2018-09-13 21:10:00,111.8950,111.9130,111.8700,111.9060
2018-09-13 21:15:00,111.9020,111.9440,111.8800,111.9240
2018-09-13 21:20:00,111.9220,111.9330,111.8900,111.9200
2018-09-13 21:25:00,111.9170,111.9410,111.9070,111.9350
2018-09-13 21:30:00,111.9340,111.9440,111.9100,111.9190
2018-09-13 21:35:00,111.9270,111.9300,111.8800,111.9220
2018-09-13 21:40:00,111.9200,111.9240,111.8700,111.9090
2018-09-13 21:45:00,111.9100,111.9130,111.8600,111.9060
2018-09-13 21:50:00,111.9060,111.9260,111.8600,111.9120
2018-09-13 21:55:00,111.9120,111.9210,111.8900,111.9030
